Year,Days,RGVH P&L,RGVH Vol,RGVH Sharpe,RGVH Max DD,RGVH Hit,SPY P&L,SPY Sharpe
2013,131,867.9191775640362,284.5306934091499,5.867855459776734,-207.95917858515907,0.6813186813186813,2600.1139590956827,2.993431439687431
2014,261,156.32544417120528,114.51151275678814,1.3180763049925759,-123.55922350838208,0.7586206896551724,2319.8295795529466,1.1591086648243971
2015,261,276.9281091164076,172.68273528704063,1.5483821444570816,-151.6007700599917,0.5645161290322581,422.27718254857905,0.15376160287964555
2016,261,1515.7921603568839,224.57271029377222,6.516924800246977,-61.14535162931975,0.8852459016393442,2130.8579003700793,0.9166683979532633
2017,260,1159.0394304347724,235.65082072598403,4.767123981440978,-272.9952760079825,0.7222222222222222,3476.0338585013797,2.905908787833808
2018,261,-51.23077721743628,30.77560165072193,-1.6072536697763233,-51.23077721743628,0.0,-565.1648779888071,-0.18677668590593144
2019,261,1352.1998906409463,354.64875633272317,3.681310831893047,-608.5206089530598,0.7164179104477612,4891.286565984197,2.1961145410364553
2020,262,1217.3441222853571,399.46099921368966,2.9311512474869637,-777.314334643643,0.75,3929.4126242863185,0.6585265004676993
2021,261,2688.9111167446104,405.61136255035785,6.400683717116264,-241.47961357434997,0.6850828729281768,4565.641568971284,1.9746231250886557
2022,260,121.56108471601753,76.91160402160764,1.5318981465362713,-8.904623235603687,0.75,-2996.43675227751,-0.6972224021506613
2023,260,2293.345389369928,356.2121888420099,6.240047324255711,-321.9759675622745,0.675,4215.554753815501,1.8218671939215467
2024,262,-828.7116179774885,424.40539131889875,-1.8781132847389745,-1179.473201018502,0.5037037037037037,4026.0181259688625,1.7960062088948718
2025,173,1432.69208064671,380.1043543252016,5.490405907933485,-551.3376870321543,0.8,2067.177033117427,0.7815188098207417
